"Aᵢ","Gᵢ","ΔA"
0.1,0.0,0.07
0.2,0.0,0.13
0.3,0.0,0.19
0.4,0.0,0.25
0.5,0.0,0.30
0.6,0.0,0.34
0.7,0.0,0.37
0.8,0.0,0.39
0.9,0.0,0.41
1.0,0.0,0.41
0.1,0.1,0.07
0.2,0.1,0.14
0.3,0.1,0.20
0.4,0.1,0.26
0.5,0.1,0.32
0.6,0.1,0.37
0.7,0.1,0.42
0.8,0.1,0.45
0.9,0.1,0.49
1.0,0.1,0.51
0.1,0.2,0.07
0.2,0.2,0.14
0.3,0.2,0.21
0.4,0.2,0.27
0.5,0.2,0.34
0.6,0.2,0.40
0.7,0.2,0.46
0.8,0.2,0.51
0.9,0.2,0.56
1.0,0.2,0.60
0.1,0.3,0.07
0.2,0.3,0.14
0.3,0.3,0.21
0.4,0.3,0.28
0.5,0.3,0.36
0.6,0.3,0.43
0.7,0.3,0.49
0.8,0.3,0.56
0.9,0.3,0.63
1.0,0.3,0.69
0.1,0.4,0.07
0.2,0.4,0.14
0.3,0.4,0.22
0.4,0.4,0.29
0.5,0.4,0.37
0.6,0.4,0.45
0.7,0.4,0.53
0.8,0.4,0.61
0.9,0.4,0.69
1.0,0.4,0.77
0.1,0.5,0.07
0.2,0.5,0.14
0.3,0.5,0.22
0.4,0.5,0.30
0.5,0.5,0.38
0.6,0.5,0.47
0.7,0.5,0.56
0.8,0.5,0.65
0.9,0.5,0.74
1.0,0.5,0.83
0.1,0.6,0.07
0.2,0.6,0.15
0.3,0.6,0.23
0.4,0.6,0.31
0.5,0.6,0.39
0.6,0.6,0.49
0.7,0.6,0.58
0.8,0.6,0.68
0.9,0.6,0.78
1.0,0.6,0.89
0.1,0.7,0.07
0.2,0.7,0.15
0.3,0.7,0.23
0.4,0.7,0.31
0.5,0.7,0.40
0.6,0.7,0.50
0.7,0.7,0.60
0.8,0.7,0.71
0.9,0.7,0.82
1.0,0.7,0.94
0.1,0.8,0.07
0.2,0.8,0.15
0.3,0.8,0.23
0.4,0.8,0.32
0.5,0.8,0.41
0.6,0.8,0.51
0.7,0.8,0.61
0.8,0.8,0.73
0.9,0.8,0.85
1.0,0.8,0.97
0.1,0.9,0.07
0.2,0.9,0.15
0.3,0.9,0.23
0.4,0.9,0.32
0.5,0.9,0.41
0.6,0.9,0.51
0.7,0.9,0.62
0.8,0.9,0.74
0.9,0.9,0.86
1.0,0.9,0.99
0.1,1.0,0.07
0.2,1.0,0.15
0.3,1.0,0.23
0.4,1.0,0.32
0.5,1.0,0.41
0.6,1.0,0.52
0.7,1.0,0.62
0.8,1.0,0.74
0.9,1.0,0.87
1.0,1.0,1.00
