"Aᵢ","Gᵢ","Normalised ΔA"
0.1,0.0,0.68
0.2,0.0,0.66
0.3,0.0,0.64
0.4,0.0,0.62
0.5,0.0,0.59
0.6,0.0,0.56
0.7,0.0,0.53
0.8,0.0,0.49
0.9,0.0,0.45
1.0,0.0,0.41
0.1,0.1,0.69
0.2,0.1,0.68
0.3,0.1,0.67
0.4,0.1,0.65
0.5,0.1,0.64
0.6,0.1,0.62
0.7,0.1,0.59
0.8,0.1,0.57
0.9,0.1,0.54
1.0,0.1,0.51
0.1,0.2,0.69
0.2,0.2,0.69
0.3,0.2,0.69
0.4,0.2,0.68
0.5,0.2,0.68
0.6,0.2,0.67
0.7,0.2,0.65
0.8,0.2,0.64
0.9,0.2,0.62
1.0,0.2,0.60
0.1,0.3,0.70
0.2,0.3,0.70
0.3,0.3,0.71
0.4,0.3,0.71
0.5,0.3,0.71
0.6,0.3,0.71
0.7,0.3,0.71
0.8,0.3,0.70
0.9,0.3,0.70
1.0,0.3,0.69
0.1,0.4,0.70
0.2,0.4,0.71
0.3,0.4,0.72
0.4,0.4,0.73
0.5,0.4,0.74
0.6,0.4,0.75
0.7,0.4,0.75
0.8,0.4,0.76
0.9,0.4,0.76
1.0,0.4,0.77
0.1,0.5,0.71
0.2,0.5,0.72
0.3,0.5,0.74
0.4,0.5,0.75
0.5,0.5,0.77
0.6,0.5,0.78
0.7,0.5,0.80
0.8,0.5,0.81
0.9,0.5,0.82
1.0,0.5,0.83
0.1,0.6,0.71
0.2,0.6,0.73
0.3,0.6,0.75
0.4,0.6,0.77
0.5,0.6,0.79
0.6,0.6,0.81
0.7,0.6,0.83
0.8,0.6,0.85
0.9,0.6,0.87
1.0,0.6,0.89
0.1,0.7,0.71
0.2,0.7,0.74
0.3,0.7,0.76
0.4,0.7,0.78
0.5,0.7,0.81
0.6,0.7,0.83
0.7,0.7,0.86
0.8,0.7,0.88
0.9,0.7,0.91
1.0,0.7,0.94
0.1,0.8,0.72
0.2,0.8,0.74
0.3,0.8,0.77
0.4,0.8,0.79
0.5,0.8,0.82
0.6,0.8,0.85
0.7,0.8,0.88
0.8,0.8,0.91
0.9,0.8,0.94
1.0,0.8,0.97
0.1,0.9,0.72
0.2,0.9,0.74
0.3,0.9,0.77
0.4,0.9,0.80
0.5,0.9,0.83
0.6,0.9,0.86
0.7,0.9,0.89
0.8,0.9,0.92
0.9,0.9,0.96
1.0,0.9,0.99
0.1,1.0,0.72
0.2,1.0,0.74
0.3,1.0,0.77
0.4,1.0,0.80
0.5,1.0,0.83
0.6,1.0,0.86
0.7,1.0,0.89
0.8,1.0,0.93
0.9,1.0,0.96
1.0,1.0,1.00
