"Aᵢ","Gᵢ","ΔA (tCO2eq)"
0.1,0.0,0.0089
0.2,0.0,0.0321
0.3,0.0,0.0644
0.4,0.0,0.1014
0.5,0.0,0.1392
0.6,0.0,0.1747
0.7,0.0,0.2050
0.8,0.0,0.2281
0.9,0.0,0.2426
1.0,0.0,0.2475
0.1,0.1,0.0091
0.2,0.1,0.0334
0.3,0.1,0.0688
0.4,0.1,0.1112
0.5,0.1,0.1574
0.6,0.1,0.2043
0.7,0.1,0.2491
0.8,0.1,0.2896
0.9,0.1,0.3239
1.0,0.1,0.3505
0.1,0.2,0.0093
0.2,0.2,0.0347
0.3,0.2,0.0728
0.4,0.2,0.1205
0.5,0.2,0.1747
0.6,0.2,0.2327
0.7,0.2,0.2921
0.8,0.2,0.3508
0.9,0.2,0.4066
1.0,0.2,0.4578
0.1,0.3,0.0094
0.2,0.3,0.0358
0.3,0.3,0.0765
0.4,0.3,0.1289
0.5,0.3,0.1906
0.6,0.3,0.2593
0.7,0.3,0.3330
0.8,0.3,0.4096
0.9,0.3,0.4873
1.0,0.3,0.5644
0.1,0.4,0.0095
0.2,0.4,0.0368
0.3,0.4,0.0797
0.4,0.4,0.1364
0.5,0.4,0.2050
0.6,0.4,0.2836
0.7,0.4,0.3706
0.8,0.4,0.4643
0.9,0.4,0.5632
1.0,0.4,0.6657
0.1,0.5,0.0097
0.2,0.5,0.0376
0.3,0.5,0.0826
0.4,0.5,0.1430
0.5,0.5,0.2176
0.6,0.5,0.3050
0.7,0.5,0.4040
0.8,0.5,0.5133
0.9,0.5,0.6317
1.0,0.5,0.7580
0.1,0.6,0.0097
0.2,0.6,0.0383
0.3,0.6,0.0849
0.4,0.6,0.1484
0.5,0.6,0.2281
0.6,0.6,0.3230
0.7,0.6,0.4323
0.8,0.6,0.5551
0.9,0.6,0.6907
1.0,0.6,0.8380
0.1,0.7,0.0098
0.2,0.7,0.0389
0.3,0.7,0.0867
0.4,0.7,0.1528
0.5,0.7,0.2365
0.6,0.7,0.3374
0.7,0.7,0.4551
0.8,0.7,0.5889
0.9,0.7,0.7383
1.0,0.7,0.9030
0.1,0.8,0.0099
0.2,0.8,0.0393
0.3,0.8,0.0880
0.4,0.8,0.1559
0.5,0.8,0.2426
0.6,0.8,0.3479
0.7,0.8,0.4717
0.8,0.8,0.6135
0.9,0.8,0.7734
1.0,0.8,0.9509
0.1,0.9,0.0099
0.2,0.9,0.0395
0.3,0.9,0.0888
0.4,0.9,0.1578
0.5,0.9,0.2463
0.6,0.9,0.3543
0.7,0.9,0.4818
0.8,0.9,0.6286
0.9,0.9,0.7948
1.0,0.9,0.9802
0.1,1.0,0.0099
0.2,1.0,0.0396
0.3,1.0,0.0891
0.4,1.0,0.1584
0.5,1.0,0.2475
0.6,1.0,0.3564
0.7,1.0,0.4851
0.8,1.0,0.6337
0.9,1.0,0.8020
1.0,1.0,0.9901
