"Aᵢ","Gᵢ","-ΔCᵢ"
0.2,0.0,0.60
0.3,0.0,0.35
0.4,0.0,0.24
0.5,0.0,0.18
0.6,0.0,0.14
0.7,0.0,0.12
0.8,0.0,0.10
0.9,0.0,0.08
1.0,0.0,0.07
0.1,0.1,0.06
0.3,0.1,0.60
0.4,0.1,0.36
0.5,0.1,0.25
0.6,0.1,0.19
0.7,0.1,0.15
0.8,0.1,0.12
0.9,0.1,0.10
1.0,0.1,0.09
0.1,0.2,0.07
0.2,0.2,0.07
0.4,0.2,0.60
0.5,0.2,0.36
0.6,0.2,0.25
0.7,0.2,0.19
0.8,0.2,0.15
0.9,0.2,0.12
1.0,0.2,0.11
0.1,0.3,0.09
0.2,0.3,0.08
0.3,0.3,0.07
0.5,0.3,0.61
0.6,0.3,0.37
0.7,0.3,0.26
0.8,0.3,0.20
0.9,0.3,0.16
1.0,0.3,0.13
0.1,0.4,0.11
0.2,0.4,0.09
0.3,0.4,0.08
0.4,0.4,0.07
0.6,0.4,0.61
0.7,0.4,0.37
0.8,0.4,0.26
0.9,0.4,0.20
1.0,0.4,0.16
0.1,0.5,0.13
0.2,0.5,0.11
0.3,0.5,0.10
0.4,0.5,0.09
0.5,0.5,0.08
0.7,0.5,0.61
0.8,0.5,0.37
0.9,0.5,0.26
1.0,0.5,0.20
0.1,0.6,0.16
0.2,0.6,0.14
0.3,0.6,0.12
0.4,0.6,0.10
0.5,0.6,0.09
0.6,0.6,0.08
0.8,0.6,0.61
0.9,0.6,0.37
1.0,0.6,0.27
0.1,0.7,0.21
0.2,0.7,0.17
0.3,0.7,0.14
0.4,0.7,0.12
0.5,0.7,0.11
0.6,0.7,0.09
0.7,0.7,0.08
0.9,0.7,0.61
1.0,0.7,0.38
0.1,0.8,0.27
0.2,0.8,0.21
0.3,0.8,0.17
0.4,0.8,0.14
0.5,0.8,0.12
0.6,0.8,0.11
0.7,0.8,0.10
0.8,0.8,0.09
1.0,0.8,0.61
0.1,0.9,0.38
0.2,0.9,0.27
0.3,0.9,0.21
0.4,0.9,0.17
0.5,0.9,0.15
0.6,0.9,0.13
0.7,0.9,0.11
0.8,0.9,0.10
0.9,0.9,0.09
0.1,1.0,0.61
0.2,1.0,0.38
0.3,1.0,0.27
0.4,1.0,0.21
0.5,1.0,0.17
0.6,1.0,0.15
0.7,1.0,0.13
0.8,1.0,0.11
0.9,1.0,0.10
1.0,1.0,0.09
