"Aᵢ","Gᵢ","Carbon Spread ε"
0.1,0.0,0.17
0.2,0.0,0.25
0.3,0.0,0.32
0.4,0.0,0.38
0.5,0.0,0.44
0.6,0.0,0.50
0.7,0.0,0.55
0.8,0.0,0.60
0.9,0.0,0.64
1.0,0.0,0.69
0.1,0.1,0.16
0.2,0.1,0.22
0.3,0.1,0.28
0.4,0.1,0.34
0.5,0.1,0.39
0.6,0.1,0.44
0.7,0.1,0.48
0.8,0.1,0.53
0.9,0.1,0.57
1.0,0.1,0.60
0.1,0.2,0.14
0.2,0.2,0.20
0.3,0.2,0.24
0.4,0.2,0.29
0.5,0.2,0.33
0.6,0.2,0.37
0.7,0.2,0.41
0.8,0.2,0.45
0.9,0.2,0.49
1.0,0.2,0.52
0.1,0.3,0.13
0.2,0.3,0.17
0.3,0.3,0.21
0.4,0.3,0.25
0.5,0.3,0.28
0.6,0.3,0.32
0.7,0.3,0.35
0.8,0.3,0.38
0.9,0.3,0.41
1.0,0.3,0.44
0.1,0.4,0.12
0.2,0.4,0.15
0.3,0.4,0.18
0.4,0.4,0.21
0.5,0.4,0.24
0.6,0.4,0.26
0.7,0.4,0.29
0.8,0.4,0.31
0.9,0.4,0.34
1.0,0.4,0.36
0.1,0.5,0.11
0.2,0.5,0.13
0.3,0.5,0.15
0.4,0.5,0.17
0.5,0.5,0.19
0.6,0.5,0.21
0.7,0.5,0.23
0.8,0.5,0.25
0.9,0.5,0.27
1.0,0.5,0.29
0.1,0.6,0.10
0.2,0.6,0.12
0.3,0.6,0.13
0.4,0.6,0.14
0.5,0.6,0.16
0.6,0.6,0.17
0.7,0.6,0.18
0.8,0.6,0.20
0.9,0.6,0.21
1.0,0.6,0.22
0.1,0.7,0.10
0.2,0.7,0.11
0.3,0.7,0.11
0.4,0.7,0.12
0.5,0.7,0.13
0.6,0.7,0.14
0.7,0.7,0.14
0.8,0.7,0.15
0.9,0.7,0.16
1.0,0.7,0.17
0.1,0.8,0.09
0.2,0.8,0.10
0.3,0.8,0.10
0.4,0.8,0.10
0.5,0.8,0.11
0.6,0.8,0.11
0.7,0.8,0.11
0.8,0.8,0.12
0.9,0.8,0.12
1.0,0.8,0.12
0.1,0.9,0.09
0.2,0.9,0.09
0.3,0.9,0.09
0.4,0.9,0.09
0.5,0.9,0.10
0.6,0.9,0.10
0.7,0.9,0.10
0.8,0.9,0.10
0.9,0.9,0.10
1.0,0.9,0.10
0.1,1.0,0.09
0.2,1.0,0.09
0.3,1.0,0.09
0.4,1.0,0.09
0.5,1.0,0.09
0.6,1.0,0.09
0.7,1.0,0.09
0.8,1.0,0.09
0.9,1.0,0.09
1.0,1.0,0.09
