"A_Q","Gᵢ","λ"
0.0,0.0,1.00000
0.1,0.0,0.90000
0.2,0.0,0.80000
0.3,0.0,0.70000
0.4,0.0,0.60000
0.5,0.0,0.50000
0.6,0.0,0.40000
0.7,0.0,0.30000
0.8,0.0,0.20000
0.9,0.0,0.10000
1.0,0.0,0.00000
0.0,0.1,0.98780
0.1,0.1,0.88902
0.2,0.1,0.79024
0.3,0.1,0.69146
0.4,0.1,0.59268
0.5,0.1,0.49390
0.6,0.1,0.39512
0.7,0.1,0.29634
0.8,0.1,0.19756
0.9,0.1,0.09878
1.0,0.1,0.00000
0.0,0.2,0.94118
0.1,0.2,0.84706
0.2,0.2,0.75294
0.3,0.2,0.65882
0.4,0.2,0.56471
0.5,0.2,0.47059
0.6,0.2,0.37647
0.7,0.2,0.28235
0.8,0.2,0.18824
0.9,0.2,0.09412
1.0,0.2,0.00000
0.0,0.3,0.84483
0.1,0.3,0.76034
0.2,0.3,0.67586
0.3,0.3,0.59138
0.4,0.3,0.50690
0.5,0.3,0.42241
0.6,0.3,0.33793
0.7,0.3,0.25345
0.8,0.3,0.16897
0.9,0.3,0.08448
1.0,0.3,0.00000
0.0,0.4,0.69231
0.1,0.4,0.62308
0.2,0.4,0.55385
0.3,0.4,0.48462
0.4,0.4,0.41538
0.5,0.4,0.34615
0.6,0.4,0.27692
0.7,0.4,0.20769
0.8,0.4,0.13846
0.9,0.4,0.06923
1.0,0.4,0.00000
0.0,0.5,0.50000
0.1,0.5,0.45000
0.2,0.5,0.40000
0.3,0.5,0.35000
0.4,0.5,0.30000
0.5,0.5,0.25000
0.6,0.5,0.20000
0.7,0.5,0.15000
0.8,0.5,0.10000
0.9,0.5,0.05000
1.0,0.5,0.00000
0.0,0.6,0.30769
0.1,0.6,0.27692
0.2,0.6,0.24615
0.3,0.6,0.21538
0.4,0.6,0.18462
0.5,0.6,0.15385
0.6,0.6,0.12308
0.7,0.6,0.09231
0.8,0.6,0.06154
0.9,0.6,0.03077
1.0,0.6,0.00000
0.0,0.7,0.15517
0.1,0.7,0.13966
0.2,0.7,0.12414
0.3,0.7,0.10862
0.4,0.7,0.09310
0.5,0.7,0.07759
0.6,0.7,0.06207
0.7,0.7,0.04655
0.8,0.7,0.03103
0.9,0.7,0.01552
1.0,0.7,0.00000
0.0,0.8,0.05882
0.1,0.8,0.05294
0.2,0.8,0.04706
0.3,0.8,0.04118
0.4,0.8,0.03529
0.5,0.8,0.02941
0.6,0.8,0.02353
0.7,0.8,0.01765
0.8,0.8,0.01176
0.9,0.8,0.00588
1.0,0.8,0.00000
0.0,0.9,0.01220
0.1,0.9,0.01098
0.2,0.9,0.00976
0.3,0.9,0.00854
0.4,0.9,0.00732
0.5,0.9,0.00610
0.6,0.9,0.00488
0.7,0.9,0.00366
0.8,0.9,0.00244
0.9,0.9,0.00122
1.0,0.9,0.00000
0.0,1.0,0.00000
0.1,1.0,0.00000
0.2,1.0,0.00000
0.3,1.0,0.00000
0.4,1.0,0.00000
0.5,1.0,0.00000
0.6,1.0,0.00000
0.7,1.0,0.00000
0.8,1.0,0.00000
0.9,1.0,0.00000
1.0,1.0,0.00000
