"A_Q","A_G","λ_G","λ_Q"
0.1,0.0,0.00,1.00
0.2,0.0,0.00,1.00
0.3,0.0,0.00,1.00
0.4,0.0,0.00,1.00
0.5,0.0,0.00,1.00
0.6,0.0,0.00,1.00
0.7,0.0,0.00,1.00
0.8,0.0,0.00,1.00
0.9,0.0,0.00,1.00
1.0,0.0,0.00,1.00
0.0,0.1,1.00,0.00
0.1,0.1,0.59,0.41
0.2,0.1,0.41,0.59
0.3,0.1,0.32,0.68
0.4,0.1,0.26,0.74
0.5,0.1,0.22,0.78
0.6,0.1,0.19,0.81
0.7,0.1,0.17,0.83
0.8,0.1,0.15,0.85
0.9,0.1,0.14,0.86
0.0,0.2,1.00,0.00
0.1,0.2,0.74,0.26
0.2,0.2,0.59,0.41
0.3,0.2,0.49,0.51
0.4,0.2,0.41,0.59
0.5,0.2,0.36,0.64
0.6,0.2,0.32,0.68
0.7,0.2,0.29,0.71
0.8,0.2,0.26,0.74
0.0,0.3,1.00,0.00
0.1,0.3,0.81,0.19
0.2,0.3,0.68,0.32
0.3,0.3,0.59,0.41
0.4,0.3,0.51,0.49
0.5,0.3,0.46,0.54
0.6,0.3,0.41,0.59
0.7,0.3,0.38,0.62
0.0,0.4,1.00,0.00
0.1,0.4,0.85,0.15
0.2,0.4,0.74,0.26
0.3,0.4,0.65,0.35
0.4,0.4,0.59,0.41
0.5,0.4,0.53,0.47
0.6,0.4,0.49,0.51
0.0,0.5,1.00,0.00
0.1,0.5,0.88,0.12
0.2,0.5,0.78,0.22
0.3,0.5,0.70,0.30
0.4,0.5,0.64,0.36
0.5,0.5,0.59,0.41
0.0,0.6,1.00,0.00
0.1,0.6,0.89,0.11
0.2,0.6,0.81,0.19
0.3,0.6,0.74,0.26
0.4,0.6,0.68,0.32
0.0,0.7,1.00,0.00
0.1,0.7,0.91,0.09
0.2,0.7,0.83,0.17
0.3,0.7,0.77,0.23
0.0,0.8,1.00,0.00
0.1,0.8,0.92,0.08
0.2,0.8,0.85,0.15
0.0,0.9,1.00,0.00
0.1,0.9,0.93,0.07
0.0,1.0,1.00,0.00
