"Time (Months)","Incentives","Klima Holders","Product Design","Ecosystem Grant","DAO / Treasury","pKlima Holders","01X"
0,28.57143,0.00000,0.00000,0.00000,45.91837,0.00000,25.51020
1,30.65185,0.00000,0.00000,0.00000,44.58095,0.00000,24.76720
2,32.79588,0.00000,0.00000,0.00000,43.20265,0.00000,24.00147
3,33.19765,3.87318,0.48415,0.48415,39.64525,0.29049,22.02514
4,33.56856,7.42890,0.92861,0.92861,36.37810,0.55717,20.21005
5,33.91059,10.68611,1.33576,1.33576,33.38378,0.80146,18.54654
6,34.22572,13.66387,1.70798,1.70798,30.64478,1.02479,17.02488
7,34.51592,16.38110,2.04764,2.04764,28.14372,1.22858,15.63540
8,34.78312,18.85631,2.35704,2.35704,25.86360,1.41422,14.36867
9,35.02918,21.10745,2.63843,2.63843,23.78793,1.58306,13.21552
10,35.25588,23.15175,2.89397,2.89397,21.90089,1.73638,12.16716
11,35.46489,25.00562,3.12570,3.12570,20.18742,1.87542,11.21524
12,35.65781,26.68461,3.33558,3.33558,18.63326,2.00135,10.35181
13,35.83612,28.20334,3.52542,3.52542,17.22501,2.11525,9.56945
14,36.00117,29.57551,3.69694,3.69694,15.95011,2.21816,8.86117
15,36.15422,30.81389,3.85174,3.85174,14.79688,2.31104,8.22049
16,36.29641,31.93035,3.99129,3.99129,13.75449,2.39478,7.64138
17,36.42877,32.93588,4.11699,4.11699,12.81291,2.47019,7.11828
18,36.55221,33.84063,4.23008,4.23008,11.96290,2.53805,6.64605
19,36.66756,34.65395,4.33174,4.33174,11.19597,2.59905,6.21999
20,36.77553,35.38443,4.42305,4.42305,10.50435,2.65383,5.83575
21,36.87674,36.03995,4.50499,4.50499,9.88092,2.70300,5.48940
22,36.97175,36.62773,4.57847,4.57847,9.31918,2.74708,5.17732
23,37.06102,37.15437,4.64430,4.64430,8.81321,2.78658,4.89623
24,37.14495,37.62590,4.70324,4.70324,8.35761,2.82194,4.64312
25,37.22388,38.04781,4.75598,4.75598,7.94750,2.85359,4.41528
26,37.29810,38.42509,4.80314,4.80314,7.57843,2.88188,4.21024
27,37.36786,38.76228,4.84528,4.84528,7.24636,2.90717,4.02576
28,37.43339,39.06350,4.88294,4.88294,6.94766,2.92976,3.85981
29,37.49487,39.33248,4.91656,4.91656,6.67903,2.94994,3.71057
30,37.55248,39.57259,4.94657,4.94657,6.43747,2.96794,3.57637
31,37.60638,39.78687,4.97336,4.97336,6.22029,2.98402,3.45572
32,37.65673,39.97808,4.99726,4.99726,6.02506,2.99836,3.34726
33,37.70366,40.14866,5.01858,5.01858,5.84959,3.01115,3.24977
34,37.74733,40.30085,5.03761,5.03761,5.69189,3.02256,3.16216
35,37.78787,40.43663,5.05458,5.05458,5.55017,3.03275,3.08343
36,37.82545,40.55776,5.06972,5.06972,5.42283,3.04183,3.01268
37,37.86020,40.66586,5.08323,5.08323,5.30842,3.04994,2.94912
38,37.89227,40.76233,5.09529,5.09529,5.20563,3.05717,2.89202
39,37.92181,40.84844,5.10605,5.10605,5.11329,3.06363,2.84072
40,37.94898,40.92532,5.11567,5.11567,5.03034,3.06940,2.79463
41,37.97390,40.99399,5.12425,5.12425,4.95583,3.07455,2.75324
42,37.99674,41.05532,5.13192,5.13192,4.88890,3.07915,2.71606
43,38.01762,41.11013,5.13877,5.13877,4.82879,3.08326,2.68266
44,38.03670,41.15911,5.14489,5.14489,4.77481,3.08693,2.65267
45,38.05409,41.20291,5.15036,5.15036,4.72632,3.09022,2.62573
46,38.06993,41.24208,5.15526,5.15526,4.68278,3.09316,2.60154
47,38.08433,41.27711,5.15964,5.15964,4.64368,3.09578,2.57982
48,38.27160,41.15226,5.14403,5.14403,4.62963,3.08642,2.57202
49,38.44132,41.03912,5.12989,5.12989,4.61690,3.07793,2.56494
50,38.59498,40.93668,5.11708,5.11708,4.60538,3.07025,2.55854
51,38.73399,40.84400,5.10550,5.10550,4.59495,3.06330,2.55275
52,38.85966,40.76023,5.09503,5.09503,4.58553,3.05702,2.54751
53,38.97318,40.68455,5.08557,5.08557,4.57701,3.05134,2.54278
54,39.07567,40.61622,5.07703,5.07703,4.56932,3.04622,2.53851
55,39.16815,40.55457,5.06932,5.06932,4.56239,3.04159,2.53466
56,39.25155,40.49897,5.06237,5.06237,4.55613,3.03742,2.53119
57,39.32674,40.44884,5.05611,5.05611,4.55049,3.03366,2.52805
58,39.39449,40.40368,5.05046,5.05046,4.54541,3.03028,2.52523
59,39.45551,40.36299,5.04537,5.04537,4.54084,3.02722,2.52269
60,39.51046,40.32636,5.04079,5.04079,4.53672,3.02448,2.52040
