"Time (Months)","Incentives (%)","Klima Holders (%)","Product Design (%)","Ecosystem Grant (%)","DAO / Treasury (%)","pKlima Holders (%)","01X (%)"
0,9.80000,7.00000,7.00000,7.00000,7.00000,2.50000,2.50000
1,10.09400,7.00000,7.00000,7.00000,7.00000,2.50000,2.50000
2,10.41603,7.00000,7.00000,7.00000,7.00000,2.50000,2.50000
3,11.35067,7.58251,7.14288,7.08793,7.03297,2.53297,2.50000
4,12.37008,8.21762,7.29866,7.18379,7.06892,2.56892,2.50000
5,13.47960,8.90859,7.46814,7.28809,7.10803,2.60803,2.50000
6,14.68439,9.65855,7.65210,7.40129,7.15048,2.65048,2.50000
7,15.98936,10.47048,7.85125,7.52385,7.19644,2.69644,2.50000
8,17.39897,11.34706,8.06626,7.65616,7.24606,2.74606,2.50000
9,18.91716,12.29063,8.29770,7.79859,7.29947,2.79947,2.50000
10,20.54711,13.30304,8.54603,7.95140,7.35678,2.85678,2.50000
11,22.29111,14.38559,8.81156,8.11481,7.41805,2.91805,2.50000
12,24.15036,15.53887,9.09444,8.28889,7.48333,2.98333,2.50000
13,26.12481,16.76269,9.39462,8.47361,7.55261,3.05261,2.50000
14,28.21297,18.05597,9.71184,8.66883,7.62581,3.12581,2.50000
15,30.41181,19.41666,10.04559,8.87421,7.70283,3.20283,2.50000
16,32.71659,20.84164,10.39512,9.08930,7.78349,3.28349,2.50000
17,35.12084,22.32675,10.75939,9.31347,7.86755,3.36755,2.50000
18,37.61631,23.86672,11.13712,9.54592,7.95472,3.45472,2.50000
19,40.19302,25.45522,11.52675,9.78569,8.04464,3.54464,2.50000
20,42.83938,27.08497,11.92650,10.03169,8.13689,3.63689,2.50000
21,45.54230,28.74778,12.33436,10.28268,8.23101,3.73101,2.50000
22,48.28750,30.43476,12.74815,10.53732,8.32650,3.82650,2.50000
23,51.05973,32.13647,13.16555,10.79418,8.42282,3.92282,2.50000
24,53.84313,33.84313,13.58416,11.05179,8.51942,4.01942,2.50000
25,56.62158,35.54483,14.00156,11.30865,8.61575,4.11575,2.50000
26,59.37908,37.23181,14.41535,11.56329,8.71123,4.21123,2.50000
27,62.10011,38.89463,14.82321,11.81428,8.80536,4.30536,2.50000
28,64.76997,40.52437,15.22296,12.06028,8.89761,4.39761,2.50000
29,67.37508,42.11288,15.61259,12.30006,8.98752,4.48752,2.50000
30,69.90325,43.65285,15.99032,12.53251,9.07469,4.57469,2.50000
31,72.34387,45.13796,16.35459,12.75667,9.15875,4.65875,2.50000
32,74.68799,46.56294,16.70412,12.97176,9.23941,4.73941,2.50000
33,76.92847,47.92362,17.03787,13.17715,9.31643,4.81643,2.50000
34,79.05991,49.21691,17.35509,13.37236,9.38964,4.88964,2.50000
35,81.07861,50.44073,17.65527,13.55709,9.45891,4.95891,2.50000
36,82.98252,51.59401,17.93815,13.73117,9.52419,5.02419,2.50000
37,84.77104,52.67655,18.20368,13.89457,9.58547,5.08547,2.50000
38,86.44490,53.68897,18.45201,14.04739,9.64277,5.14277,2.50000
39,88.00601,54.63253,18.68345,14.18982,9.69618,5.19618,2.50000
40,89.45721,55.50911,18.89846,14.32213,9.74580,5.24580,2.50000
41,90.80217,56.32104,19.09761,14.44469,9.79176,5.29176,2.50000
42,92.04517,57.07101,19.28157,14.55789,9.83421,5.33421,2.50000
43,93.19096,57.76197,19.45105,14.66218,9.87332,5.37332,2.50000
44,94.24463,58.39709,19.60683,14.75805,9.90927,5.40927,2.50000
45,95.21144,58.97960,19.74971,14.84598,9.94224,5.44224,2.50000
46,96.09678,59.51281,19.88050,14.92646,9.97242,5.47242,2.50000
47,96.90600,60.00000,20.00000,15.00000,10.00000,5.50000,2.50000
48,97.20000,60.00000,20.00000,15.00000,10.00000,5.50000,2.50000
49,97.46798,60.00000,20.00000,15.00000,10.00000,5.50000,2.50000
50,97.71188,60.00000,20.00000,15.00000,10.00000,5.50000,2.50000
51,97.93359,60.00000,20.00000,15.00000,10.00000,5.50000,2.50000
52,98.13488,60.00000,20.00000,15.00000,10.00000,5.50000,2.50000
53,98.31743,60.00000,20.00000,15.00000,10.00000,5.50000,2.50000
54,98.48282,60.00000,20.00000,15.00000,10.00000,5.50000,2.50000
55,98.63254,60.00000,20.00000,15.00000,10.00000,5.50000,2.50000
56,98.76796,60.00000,20.00000,15.00000,10.00000,5.50000,2.50000
57,98.89035,60.00000,20.00000,15.00000,10.00000,5.50000,2.50000
58,99.00089,60.00000,20.00000,15.00000,10.00000,5.50000,2.50000
59,99.10068,60.00000,20.00000,15.00000,10.00000,5.50000,2.50000
60,99.19071,60.00000,20.00000,15.00000,10.00000,5.50000,2.50000
