"Time (Months)","Incentives (%/Month)","Klima Holders (%/Month)","Product Design (%/Month)","Ecosystem Grant (%/Month)","DAO / Treasury (%/Month)","pKlima Holders (%/Month)","01X (%/Month)","APY (%/Year)","APR (%/Year)"
0,0.28066,0.00000,0.00000,0.00000,4.50000,0.00000,2.50000,146.43222,87.13131
1,0.30767,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,158.81529,96.71779
2,0.33673,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,170.86115,106.14384
3,0.36787,0.43963,0.05495,0.05495,0.00000,0.03297,0.00000,167.92973,104.25947
4,0.40109,0.47933,0.05992,0.05992,0.00000,0.03595,0.00000,164.48160,102.05283
5,0.43636,0.52148,0.06519,0.06519,0.00000,0.03911,0.00000,160.54806,99.54420
6,0.47362,0.56601,0.07075,0.07075,0.00000,0.04245,0.00000,156.16521,96.75688
7,0.51275,0.61278,0.07660,0.07660,0.00000,0.04596,0.00000,151.37362,93.71698
8,0.55358,0.66157,0.08270,0.08270,0.00000,0.04962,0.00000,146.21788,90.45309
9,0.59588,0.71213,0.08902,0.08902,0.00000,0.05341,0.00000,140.74601,86.99591
10,0.63936,0.76409,0.09551,0.09551,0.00000,0.05731,0.00000,135.00875,83.37778
11,0.68365,0.81702,0.10213,0.10213,0.00000,0.06128,0.00000,129.05874,79.63213
12,0.72832,0.87040,0.10880,0.10880,0.00000,0.06528,0.00000,122.94960,75.79290
13,0.77287,0.92364,0.11545,0.11545,0.00000,0.06927,0.00000,116.73492,71.89390
14,0.81673,0.97606,0.12201,0.12201,0.00000,0.07320,0.00000,110.46730,67.96817
15,0.85930,1.02693,0.12837,0.12837,0.00000,0.07702,0.00000,104.19736,64.04739
16,0.89991,1.07546,0.13443,0.13443,0.00000,0.08066,0.00000,97.97286,60.16132
17,0.93788,1.12084,0.14010,0.14010,0.00000,0.08406,0.00000,91.83791,56.33730
18,0.97252,1.16224,0.14528,0.14528,0.00000,0.08717,0.00000,85.83231,52.59988
19,1.00318,1.19887,0.14986,0.14986,0.00000,0.08992,0.00000,79.99111,48.97052
20,1.02922,1.23000,0.15375,0.15375,0.00000,0.09225,0.00000,74.34426,45.46745
21,1.05010,1.25495,0.15687,0.15687,0.00000,0.09412,0.00000,68.91653,42.10556
22,1.06536,1.27319,0.15915,0.15915,0.00000,0.09549,0.00000,63.72749,38.89649
23,1.07466,1.28431,0.16054,0.16054,0.00000,0.09632,0.00000,58.79171,35.84872
24,1.07779,1.28804,0.16101,0.16101,0.00000,0.09660,0.00000,54.11906,32.96778
25,1.07466,1.28431,0.16054,0.16054,0.00000,0.09632,0.00000,49.71507,30.25652
26,1.06536,1.27319,0.15915,0.15915,0.00000,0.09549,0.00000,45.58141,27.71540
27,1.05010,1.25495,0.15687,0.15687,0.00000,0.09412,0.00000,41.71635,25.34280
28,1.02922,1.23000,0.15375,0.15375,0.00000,0.09225,0.00000,38.11526,23.13532
29,1.00318,1.19887,0.14986,0.14986,0.00000,0.08992,0.00000,34.77115,21.08815
30,0.97252,1.16224,0.14528,0.14528,0.00000,0.08717,0.00000,31.67508,19.19533
31,0.93788,1.12084,0.14010,0.14010,0.00000,0.08406,0.00000,28.81667,17.45002
32,0.89991,1.07546,0.13443,0.13443,0.00000,0.08066,0.00000,26.18444,15.84477
33,0.85930,1.02693,0.12837,0.12837,0.00000,0.07702,0.00000,23.76619,14.37176
34,0.81673,0.97606,0.12201,0.12201,0.00000,0.07320,0.00000,21.54932,13.02291
35,0.77287,0.92364,0.11545,0.11545,0.00000,0.06927,0.00000,19.52104,11.79013
36,0.72832,0.87040,0.10880,0.10880,0.00000,0.06528,0.00000,17.13310,10.12984
37,0.68365,0.81702,0.10213,0.10213,0.00000,0.06128,0.00000,14.97792,8.63909
38,0.63936,0.76409,0.09551,0.09551,0.00000,0.05731,0.00000,13.03371,7.30064
39,0.59588,0.71213,0.08902,0.08902,0.00000,0.05341,0.00000,11.28058,6.09898
40,0.55358,0.66157,0.08270,0.08270,0.00000,0.04962,0.00000,9.70036,5.02015
41,0.51275,0.61278,0.07660,0.07660,0.00000,0.04596,0.00000,8.27652,4.05162
42,0.47362,0.56601,0.07075,0.07075,0.00000,0.04245,0.00000,6.99402,3.18212
43,0.43636,0.52148,0.06519,0.06519,0.00000,0.03911,0.00000,5.83917,2.40155
44,0.40109,0.47933,0.05992,0.05992,0.00000,0.03595,0.00000,4.79956,1.70080
