"Liquidity L","Stake G","Allocation I_staking","Allocation I_pool"
0.0,0.0,0.00,0.00
0.1,0.0,0.50,0.00
0.2,0.0,0.50,0.00
0.3,0.0,0.50,0.00
0.4,0.0,0.50,0.00
0.5,0.0,0.50,0.00
0.6,0.0,0.50,0.00
0.7,0.0,0.50,0.00
0.8,0.0,0.50,0.00
0.9,0.0,0.50,0.00
1.0,0.0,0.50,0.00
0.0,0.1,0.00,0.50
0.1,0.1,0.25,0.25
0.2,0.1,0.40,0.10
0.3,0.1,0.45,0.05
0.4,0.1,0.47,0.03
0.5,0.1,0.48,0.02
0.6,0.1,0.49,0.01
0.7,0.1,0.49,0.01
0.8,0.1,0.49,0.01
0.9,0.1,0.49,0.01
0.0,0.2,0.00,0.50
0.1,0.2,0.10,0.40
0.2,0.2,0.25,0.25
0.3,0.2,0.35,0.15
0.4,0.2,0.40,0.10
0.5,0.2,0.43,0.07
0.6,0.2,0.45,0.05
0.7,0.2,0.46,0.04
0.8,0.2,0.47,0.03
0.0,0.3,0.00,0.50
0.1,0.3,0.05,0.45
0.2,0.3,0.15,0.35
0.3,0.3,0.25,0.25
0.4,0.3,0.32,0.18
0.5,0.3,0.37,0.13
0.6,0.3,0.40,0.10
0.7,0.3,0.42,0.08
0.0,0.4,0.00,0.50
0.1,0.4,0.03,0.47
0.2,0.4,0.10,0.40
0.3,0.4,0.18,0.32
0.4,0.4,0.25,0.25
0.5,0.4,0.30,0.20
0.6,0.4,0.35,0.15
0.0,0.5,0.00,0.50
0.1,0.5,0.02,0.48
0.2,0.5,0.07,0.43
0.3,0.5,0.13,0.37
0.4,0.5,0.20,0.30
0.5,0.5,0.25,0.25
0.0,0.6,0.00,0.50
0.1,0.6,0.01,0.49
0.2,0.6,0.05,0.45
0.3,0.6,0.10,0.40
0.4,0.6,0.15,0.35
0.0,0.7,0.00,0.50
0.1,0.7,0.01,0.49
0.2,0.7,0.04,0.46
0.3,0.7,0.08,0.42
0.0,0.8,0.00,0.50
0.1,0.8,0.01,0.49
0.2,0.8,0.03,0.47
0.0,0.9,0.00,0.50
0.1,0.9,0.01,0.49
0.0,1.0,0.00,0.50
