"Liquidity L","Stake G","Allocation I_treasury"
0.00,0.00,1.00
0.05,0.00,1.00
0.10,0.00,1.00
0.15,0.00,1.00
0.20,0.00,1.00
0.25,0.00,1.00
0.30,0.00,1.00
0.35,0.00,1.00
0.40,0.00,1.00
0.45,0.00,1.00
0.50,0.00,1.00
0.55,0.00,1.00
0.60,0.00,1.00
0.65,0.00,1.00
0.70,0.00,1.00
0.75,0.00,1.00
0.80,0.00,1.00
0.85,0.00,1.00
0.90,0.00,1.00
0.95,0.00,1.00
1.00,0.00,1.00
0.00,0.05,1.00
0.05,0.05,0.95
0.10,0.05,0.95
0.15,0.05,0.97
0.20,0.05,0.98
0.25,0.05,0.98
0.30,0.05,0.99
0.35,0.05,0.99
0.40,0.05,0.99
0.45,0.05,0.99
0.50,0.05,0.99
0.55,0.05,0.99
0.60,0.05,0.99
0.65,0.05,0.99
0.70,0.05,0.99
0.75,0.05,0.99
0.80,0.05,0.99
0.85,0.05,0.99
0.90,0.05,0.99
0.95,0.05,0.99
0.00,0.10,1.00
0.05,0.10,0.95
0.10,0.10,0.89
0.15,0.10,0.88
0.20,0.10,0.90
0.25,0.10,0.91
0.30,0.10,0.93
0.35,0.10,0.94
0.40,0.10,0.95
0.45,0.10,0.95
0.50,0.10,0.96
0.55,0.10,0.96
0.60,0.10,0.96
0.65,0.10,0.96
0.70,0.10,0.96
0.75,0.10,0.96
0.80,0.10,0.96
0.85,0.10,0.96
0.90,0.10,0.95
0.00,0.15,1.00
0.05,0.15,0.97
0.10,0.15,0.88
0.15,0.15,0.82
0.20,0.15,0.81
0.25,0.15,0.81
0.30,0.15,0.83
0.35,0.15,0.84
0.40,0.15,0.86
0.45,0.15,0.87
0.50,0.15,0.88
0.55,0.15,0.89
0.60,0.15,0.89
0.65,0.15,0.89
0.70,0.15,0.90
0.75,0.15,0.89
0.80,0.15,0.89
0.85,0.15,0.88
0.00,0.20,1.00
0.05,0.20,0.98
0.10,0.20,0.90
0.15,0.20,0.81
0.20,0.20,0.75
0.25,0.20,0.73
0.30,0.20,0.72
0.35,0.20,0.73
0.40,0.20,0.74
0.45,0.20,0.76
0.50,0.20,0.77
0.55,0.20,0.78
0.60,0.20,0.78
0.65,0.20,0.79
0.70,0.20,0.79
0.75,0.20,0.79
0.80,0.20,0.78
0.00,0.25,1.00
0.05,0.25,0.98
0.10,0.25,0.91
0.15,0.25,0.81
0.20,0.25,0.73
0.25,0.25,0.67
0.30,0.25,0.63
0.35,0.25,0.62
0.40,0.25,0.62
0.45,0.25,0.63
0.50,0.25,0.63
0.55,0.25,0.64
0.60,0.25,0.65
0.65,0.25,0.65
0.70,0.25,0.65
0.75,0.25,0.64
0.00,0.30,1.00
0.05,0.30,0.99
0.10,0.30,0.93
0.15,0.30,0.83
0.20,0.30,0.72
0.25,0.30,0.63
0.30,0.30,0.57
0.35,0.30,0.53
0.40,0.30,0.51
0.45,0.30,0.50
0.50,0.30,0.49
0.55,0.30,0.49
0.60,0.30,0.49
0.65,0.30,0.48
0.70,0.30,0.48
0.00,0.35,1.00
0.05,0.35,0.99
0.10,0.35,0.94
0.15,0.35,0.84
0.20,0.35,0.73
0.25,0.35,0.62
0.30,0.35,0.53
0.35,0.35,0.46
0.40,0.35,0.41
0.45,0.35,0.38
0.50,0.35,0.35
0.55,0.35,0.33
0.60,0.35,0.32
0.65,0.35,0.30
0.00,0.40,1.00
0.05,0.40,0.99
0.10,0.40,0.95
0.15,0.40,0.86
0.20,0.40,0.74
0.25,0.40,0.62
0.30,0.40,0.51
0.35,0.40,0.41
0.40,0.40,0.33
0.45,0.40,0.27
0.50,0.40,0.22
0.55,0.40,0.18
0.60,0.40,0.15
0.00,0.45,1.00
0.05,0.45,0.99
0.10,0.45,0.95
0.15,0.45,0.87
0.20,0.45,0.76
0.25,0.45,0.63
0.30,0.45,0.50
0.35,0.45,0.38
0.40,0.45,0.27
0.45,0.45,0.18
0.50,0.45,0.11
0.55,0.45,0.04
0.00,0.50,1.00
0.05,0.50,0.99
0.10,0.50,0.96
0.15,0.50,0.88
0.20,0.50,0.77
0.25,0.50,0.63
0.30,0.50,0.49
0.35,0.50,0.35
0.40,0.50,0.22
0.45,0.50,0.11
0.50,0.50,0.00
0.00,0.55,1.00
0.05,0.55,0.99
0.10,0.55,0.96
0.15,0.55,0.89
0.20,0.55,0.78
0.25,0.55,0.64
0.30,0.55,0.49
0.35,0.55,0.33
0.40,0.55,0.18
0.45,0.55,0.04
0.00,0.60,1.00
0.05,0.60,0.99
0.10,0.60,0.96
0.15,0.60,0.89
0.20,0.60,0.78
0.25,0.60,0.65
0.30,0.60,0.49
0.35,0.60,0.32
0.40,0.60,0.15
0.00,0.65,1.00
0.05,0.65,0.99
0.10,0.65,0.96
0.15,0.65,0.89
0.20,0.65,0.79
0.25,0.65,0.65
0.30,0.65,0.48
0.35,0.65,0.30
0.00,0.70,1.00
0.05,0.70,0.99
0.10,0.70,0.96
0.15,0.70,0.90
0.20,0.70,0.79
0.25,0.70,0.65
0.30,0.70,0.48
0.00,0.75,1.00
0.05,0.75,0.99
0.10,0.75,0.96
0.15,0.75,0.89
0.20,0.75,0.79
0.25,0.75,0.64
0.00,0.80,1.00
0.05,0.80,0.99
0.10,0.80,0.96
0.15,0.80,0.89
0.20,0.80,0.78
0.00,0.85,1.00
0.05,0.85,0.99
0.10,0.85,0.96
0.15,0.85,0.88
0.00,0.90,1.00
0.05,0.90,0.99
0.10,0.90,0.95
0.00,0.95,1.00
0.05,0.95,0.99
0.00,1.00,1.00
