"Expiry Time E (Years)","Staking S (%)","ΔA"
1.0,0.0,0.00
2.0,0.0,0.00
3.0,0.0,0.00
4.0,0.0,0.00
5.0,0.0,0.00
6.0,0.0,0.00
7.0,0.0,0.00
8.0,0.0,0.00
9.0,0.0,0.00
10.0,0.0,0.00
1.0,0.1,0.09
2.0,0.1,0.05
3.0,0.1,0.03
4.0,0.1,0.02
5.0,0.1,0.02
6.0,0.1,0.02
7.0,0.1,0.01
8.0,0.1,0.01
9.0,0.1,0.01
10.0,0.1,0.01
1.0,0.2,0.16
2.0,0.2,0.08
3.0,0.2,0.05
4.0,0.2,0.04
5.0,0.2,0.03
6.0,0.2,0.03
7.0,0.2,0.02
8.0,0.2,0.02
9.0,0.2,0.02
10.0,0.2,0.02
1.0,0.3,0.21
2.0,0.3,0.11
3.0,0.3,0.07
4.0,0.3,0.05
5.0,0.3,0.04
6.0,0.3,0.04
7.0,0.3,0.03
8.0,0.3,0.03
9.0,0.3,0.02
10.0,0.3,0.02
1.0,0.4,0.24
2.0,0.4,0.12
3.0,0.4,0.08
4.0,0.4,0.06
5.0,0.4,0.05
6.0,0.4,0.04
7.0,0.4,0.03
8.0,0.4,0.03
9.0,0.4,0.03
10.0,0.4,0.02
1.0,0.5,0.25
2.0,0.5,0.13
3.0,0.5,0.08
4.0,0.5,0.06
5.0,0.5,0.05
6.0,0.5,0.04
7.0,0.5,0.04
8.0,0.5,0.03
9.0,0.5,0.03
10.0,0.5,0.03
1.0,0.6,0.24
2.0,0.6,0.12
3.0,0.6,0.08
4.0,0.6,0.06
5.0,0.6,0.05
6.0,0.6,0.04
7.0,0.6,0.03
8.0,0.6,0.03
9.0,0.6,0.03
10.0,0.6,0.02
1.0,0.7,0.21
2.0,0.7,0.11
3.0,0.7,0.07
4.0,0.7,0.05
5.0,0.7,0.04
6.0,0.7,0.04
7.0,0.7,0.03
8.0,0.7,0.03
9.0,0.7,0.02
10.0,0.7,0.02
1.0,0.8,0.16
2.0,0.8,0.08
3.0,0.8,0.05
4.0,0.8,0.04
5.0,0.8,0.03
6.0,0.8,0.03
7.0,0.8,0.02
8.0,0.8,0.02
9.0,0.8,0.02
10.0,0.8,0.02
1.0,0.9,0.09
2.0,0.9,0.05
3.0,0.9,0.03
4.0,0.9,0.02
5.0,0.9,0.02
6.0,0.9,0.02
7.0,0.9,0.01
8.0,0.9,0.01
9.0,0.9,0.01
10.0,0.9,0.01
1.0,1.0,0.00
2.0,1.0,0.00
3.0,1.0,0.00
4.0,1.0,0.00
5.0,1.0,0.00
6.0,1.0,0.00
7.0,1.0,0.00
8.0,1.0,0.00
9.0,1.0,0.00
10.0,1.0,0.00
